categoria,hook,caracteres
Prueba social cruda / contraintuitiva,Pon a prueba — la reacción que nadie esperaba,45
Prueba social cruda / contraintuitiva,Nota — la reacción que nadie esperaba,37
Prueba social cruda / contraintuitiva,Revisa — la reacción que nadie esperaba,39
Prueba social cruda / contraintuitiva,Detecta — la reacción que nadie esperaba,40
Prueba social cruda / contraintuitiva,Explora — la reacción que nadie esperaba,40
Prueba social cruda / contraintuitiva,Prueba — la reacción que nadie esperaba,39
Prueba social cruda / contraintuitiva,Espera — la reacción que nadie esperaba,39
Prueba social cruda / contraintuitiva,Compara — la reacción que nadie esperaba,40
Prueba social cruda / contraintuitiva,Juzga — la reacción que nadie esperaba,38
Prueba social cruda / contraintuitiva,Mira — lo probaron y pasó esto,30
Prueba social cruda / contraintuitiva,Observa — lo probaron y pasó esto,33
Prueba social cruda / contraintuitiva,Descubre — lo probaron y pasó esto,34
Prueba social cruda / contraintuitiva,Comprueba — lo probaron y pasó esto,35
Prueba social cruda / contraintuitiva,Fíjate en — lo probaron y pasó esto,35
Prueba social cruda / contraintuitiva,Ve — lo probaron y pasó esto,28
Prueba social cruda / contraintuitiva,Pon a prueba — lo probaron y pasó esto,38
Prueba social cruda / contraintuitiva,Nota — lo probaron y pasó esto,30
Prueba social cruda / contraintuitiva,Revisa — lo probaron y pasó esto,32
Prueba social cruda / contraintuitiva,Detecta — lo probaron y pasó esto,33
Prueba social cruda / contraintuitiva,Explora — lo probaron y pasó esto,33
Prueba social cruda / contraintuitiva,Prueba — lo probaron y pasó esto,32
Prueba social cruda / contraintuitiva,Espera — lo probaron y pasó esto,32
Prueba social cruda / contraintuitiva,Compara — lo probaron y pasó esto,33
Prueba social cruda / contraintuitiva,Juzga — lo probaron y pasó esto,31
Prueba social cruda / contraintuitiva,Mira — no ganó por la razón obvia,33
Prueba social cruda / contraintuitiva,Observa — no ganó por la razón obvia,36
Prueba social cruda / contraintuitiva,Descubre — no ganó por la razón obvia,37
Prueba social cruda / contraintuitiva,Comprueba — no ganó por la razón obvia,38
Prueba social cruda / contraintuitiva,Fíjate en — no ganó por la razón obvia,38
Prueba social cruda / contraintuitiva,Ve — no ganó por la razón obvia,31
Prueba social cruda / contraintuitiva,Pon a prueba — no ganó por la razón obvia,41
Prueba social cruda / contraintuitiva,Nota — no ganó por la razón obvia,33
Prueba social cruda / contraintuitiva,Revisa — no ganó por la razón obvia,35
Prueba social cruda / contraintuitiva,Detecta — no ganó por la razón obvia,36
Prueba social cruda / contraintuitiva,Explora — no ganó por la razón obvia,36
Prueba social cruda / contraintuitiva,Prueba — no ganó por la razón obvia,35
Prueba social cruda / contraintuitiva,Espera — no ganó por la razón obvia,35
Prueba social cruda / contraintuitiva,Compara — no ganó por la razón obvia,36
Prueba social cruda / contraintuitiva,Juzga — no ganó por la razón obvia,34
Prueba social cruda / contraintuitiva,"Mira — la prueba real, sin discurso",35
Prueba social cruda / contraintuitiva,"Observa — la prueba real, sin discurso",38
Prueba social cruda / contraintuitiva,"Descubre — la prueba real, sin discurso",39
Prueba social cruda / contraintuitiva,"Comprueba — la prueba real, sin discurso",40
Prueba social cruda / contraintuitiva,"Fíjate en — la prueba real, sin discurso",40
Prueba social cruda / contraintuitiva,"Ve — la prueba real, sin discurso",33
Prueba social cruda / contraintuitiva,"Pon a prueba — la prueba real, sin discurso",43
Prueba social cruda / contraintuitiva,"Nota — la prueba real, sin discurso",35
Prueba social cruda / contraintuitiva,"Revisa — la prueba real, sin discurso",37
Prueba social cruda / contraintuitiva,"Detecta — la prueba real, sin discurso",38
Controversia inocua,¿De verdad hace falta algo más?,31
Controversia inocua,Esto contradice el consejo habitual,35
Controversia inocua,La forma común quizá no es mejor,32
Controversia inocua,No todos están de acuerdo,25
Controversia inocua,¿Lo usarías así?,16
Controversia inocua,El método popular tiene una pega,32
Controversia inocua,Esto divide a quienes lo prueban,32
Controversia inocua,La opción obvia no siempre gana,31
Controversia inocua,¿Práctico o puro diseño?,24
Controversia inocua,Lo que parece inútil sí sirve,29
Controversia inocua,La discusión empieza aquí,25
Controversia inocua,¿Mejor simple o sofisticado?,28
Controversia inocua,Esto cuestiona la forma de hacerlo,34
Controversia inocua,La respuesta depende del detalle,32
Controversia inocua,¿Tendencia o solución real?,27
Controversia inocua,No es para todo el mundo,24
Controversia inocua,La opinión cambia después de verlo,34
Controversia inocua,¿Innovación o truco visual?,27
Controversia inocua,La parte polémica es esta,25
Controversia inocua,Juzga después de la prueba,26
Controversia inocua,Mira — ¿de verdad hace falta algo más?,38
Controversia inocua,Observa — ¿de verdad hace falta algo más?,41
Controversia inocua,Descubre — ¿de verdad hace falta algo más?,42
Controversia inocua,Comprueba — ¿de verdad hace falta algo más?,43
Controversia inocua,Fíjate en — ¿de verdad hace falta algo más?,43
Controversia inocua,Ve — ¿de verdad hace falta algo más?,36
Controversia inocua,Pon a prueba — ¿de verdad hace falta algo más?,46
Controversia inocua,Nota — ¿de verdad hace falta algo más?,38
Controversia inocua,Revisa — ¿de verdad hace falta algo más?,40
Controversia inocua,Detecta — ¿de verdad hace falta algo más?,41
Controversia inocua,Explora — ¿de verdad hace falta algo más?,41
Controversia inocua,Prueba — ¿de verdad hace falta algo más?,40
Controversia inocua,Espera — ¿de verdad hace falta algo más?,40
Controversia inocua,Compara — ¿de verdad hace falta algo más?,41
Controversia inocua,Juzga — ¿de verdad hace falta algo más?,39
Controversia inocua,Mira — la forma común quizá no es mejor,39
Controversia inocua,Observa — la forma común quizá no es mejor,42
Controversia inocua,Descubre — la forma común quizá no es mejor,43
Controversia inocua,Comprueba — la forma común quizá no es mejor,44
Controversia inocua,Fíjate en — la forma común quizá no es mejor,44
Controversia inocua,Ve — la forma común quizá no es mejor,37
Controversia inocua,Pon a prueba — la forma común quizá no es mejor,47
Controversia inocua,Nota — la forma común quizá no es mejor,39
Controversia inocua,Revisa — la forma común quizá no es mejor,41
Controversia inocua,Detecta — la forma común quizá no es mejor,42
Controversia inocua,Explora — la forma común quizá no es mejor,42
Controversia inocua,Prueba — la forma común quizá no es mejor,41
Controversia inocua,Espera — la forma común quizá no es mejor,41
Controversia inocua,Compara — la forma común quizá no es mejor,42
Controversia inocua,Juzga — la forma común quizá no es mejor,40
Controversia inocua,Mira — no todos están de acuerdo,32
Controversia inocua,Observa — no todos están de acuerdo,35
Controversia inocua,Descubre — no todos están de acuerdo,36
Controversia inocua,Comprueba — no todos están de acuerdo,37
Controversia inocua,Fíjate en — no todos están de acuerdo,37
Controversia inocua,Ve — no todos están de acuerdo,30
Controversia inocua,Pon a prueba — no todos están de acuerdo,40
Controversia inocua,Nota — no todos están de acuerdo,32
Controversia inocua,Revisa — no todos están de acuerdo,34
Controversia inocua,Detecta — no todos están de acuerdo,35
Controversia inocua,Explora — no todos están de acuerdo,35
Controversia inocua,Prueba — no todos están de acuerdo,34
Controversia inocua,Espera — no todos están de acuerdo,34
Controversia inocua,Compara — no todos están de acuerdo,35
Controversia inocua,Juzga — no todos están de acuerdo,33
Controversia inocua,Mira — la opción obvia no siempre gana,38
Controversia inocua,Observa — la opción obvia no siempre gana,41
Controversia inocua,Descubre — la opción obvia no siempre gana,42
Controversia inocua,Comprueba — la opción obvia no siempre gana,43
Controversia inocua,Fíjate en — la opción obvia no siempre gana,43
Controversia inocua,Ve — la opción obvia no siempre gana,36
Controversia inocua,Pon a prueba — la opción obvia no siempre gana,46
Controversia inocua,Nota — la opción obvia no siempre gana,38
Controversia inocua,Revisa — la opción obvia no siempre gana,40
Controversia inocua,Detecta — la opción obvia no siempre gana,41
